Time(s),Temperature(C)
1800.09,171.50
1802.60,171.50
1805.10,171.50
1807.60,168.25
1810.11,171.75
1812.61,171.50
1815.12,171.75
1817.62,170.00
1820.12,171.50
1822.63,171.25
1825.13,170.75
1827.63,171.75
1830.14,171.25
1832.64,171.00
1835.14,171.50
1837.65,172.00
1840.15,171.75
1842.66,172.00
1845.16,171.50
1847.66,172.25
1850.17,172.00
1852.67,172.00
1855.18,171.50
1857.68,172.25
1860.18,171.75
1862.69,172.25
1865.19,170.50
1867.69,172.75
1870.20,172.00
1872.70,172.25
1875.20,171.50
1877.71,172.50
1880.21,171.75
1882.72,172.25
1885.22,169.75
1887.72,172.50
1890.23,172.00
1892.73,172.75
1895.23,172.25
1897.74,172.25
1900.24,172.00
1902.75,173.00
1905.25,172.00
1907.75,172.75
1910.26,172.25
1912.76,173.50
1915.26,172.50
1917.77,172.75
1920.27,172.75
1922.77,173.25
1925.28,172.00
1927.78,172.50
1930.28,172.50
1932.79,173.00
1935.30,172.25
1937.80,173.00
1940.30,172.75
1942.81,173.00
1945.31,172.25
1947.81,173.50
1950.32,173.00
1952.82,173.25
1955.32,173.00
1957.83,168.75
1960.33,172.75
1962.83,172.50
1965.34,172.75
1967.84,173.50
1970.34,173.00
1972.85,172.25
1975.35,172.50
1977.85,173.00
1980.36,173.00
1982.86,173.50
1985.37,171.00
1987.87,173.25
1990.37,173.00
1992.88,173.50
1995.38,171.75
1997.89,173.50
2000.39,173.50
2002.89,173.75
2005.40,174.00
2007.90,173.25
2010.40,174.00
2012.91,173.75
2015.41,173.50
2017.92,173.50
2020.42,173.25
2022.92,173.75
2025.43,172.75
2027.93,173.50
2030.43,169.25
2032.94,173.00
2035.44,173.75
2037.94,174.00
2040.45,174.00
2042.95,174.00
2045.46,173.50
2047.96,174.25
2050.46,174.00
2052.97,174.00
2055.47,173.50
2057.97,173.75
2060.48,174.00
2062.98,174.00
2065.48,174.25
2067.99,174.00
2070.49,173.75
2073.00,173.75
2075.50,174.50
2078.00,174.75
2080.50,174.50
2083.01,174.50
2085.51,174.50
2088.02,174.50
2090.52,174.25
2093.03,174.25
2095.53,174.50
2098.03,174.00
2100.54,174.50
2103.04,169.50
2105.54,174.50
2108.05,175.00
2110.55,175.00
2113.05,174.50
2115.56,175.00
2118.06,174.25
2120.57,174.25
2123.07,174.75
2125.57,174.50
2128.08,174.75
2130.58,173.50
2133.08,175.00
2135.59,174.00
2138.09,174.25
2140.59,174.75
2143.10,173.00
2145.60,174.50
2148.10,174.75
2150.61,174.00
2153.11,174.75
2155.62,175.25
2158.12,174.75
2160.62,175.00
2163.13,174.25
2165.63,173.75
2168.13,174.75
2170.64,175.00
2173.14,175.25
2175.65,170.25
2178.15,175.25
2180.65,174.75
2183.16,174.25
2185.66,175.00
2188.16,175.50
2190.67,174.75
2193.17,175.25
2195.68,175.50
2198.18,175.25
2200.68,175.50
2203.19,175.25
2205.69,175.00
2208.19,175.00
2210.70,175.00
2213.20,175.00
2215.70,174.50
2218.21,175.50
2220.71,175.50
2223.22,176.00
2225.72,175.50
2228.22,175.50
2230.73,175.25
2233.23,175.25
2235.73,175.75
2238.24,176.00
2240.74,175.75
2243.24,175.75
2245.75,175.00
2248.25,172.25
2250.75,176.00
2253.26,175.75
2255.77,175.00
2258.27,175.00
2260.77,176.25
2263.28,175.50
2265.78,176.00
2268.28,176.00
2270.79,176.25
2273.29,175.50
2275.79,175.75
2278.30,175.75
2280.80,176.50
2283.30,176.25
2285.81,173.25
2288.31,175.50
2290.82,175.75
2293.32,176.25
2295.82,174.75
2298.33,175.75
2300.83,176.50
2303.33,175.75
2305.84,174.25
2308.34,176.25
2310.84,176.50
2313.35,175.50
2315.85,175.75
2318.36,176.25
2320.86,174.00
2323.36,176.25
2325.87,176.00
2328.37,176.25
2330.87,176.25
2333.38,175.75
2335.88,176.00
2338.39,176.50
2340.89,176.00
2343.39,176.50
2345.90,176.50
2348.40,176.25
2350.91,176.75
2353.41,175.75
2355.91,176.50
2358.42,176.50
2360.92,176.75
2363.42,176.25
2365.93,176.25
2368.43,176.75
2370.93,176.25
2373.44,175.75
2375.94,176.25
2378.44,176.50
2380.95,176.75
2383.45,176.75
2385.96,176.00
2388.46,177.00
2390.96,176.75
2393.47,176.75
2395.97,176.25
2398.47,172.25
2401.00,176.25
2403.50,176.50
2406.00,177.25
2408.51,176.50
2411.01,176.50
2413.52,176.75
2416.02,176.75
2418.52,176.00
2421.03,176.25
2423.53,176.50
2426.03,176.25
2428.54,176.25
2431.04,176.50
2433.54,176.00
2436.05,176.75
2438.55,176.50
2441.05,176.75
2443.56,175.50
2446.06,176.75
2448.56,176.75
2451.07,176.25
2453.57,177.00
2456.07,176.75
2458.58,176.00
2461.08,176.75
2463.58,177.00
2466.09,177.00
2468.59,176.75
2471.09,173.25
2473.60,175.50
2476.10,176.75
2478.60,176.50
2481.11,176.75
2483.61,177.00
2486.11,177.00
2488.62,176.75
2491.12,176.75
2493.63,177.00
2496.13,177.25
2498.63,175.75
2501.14,176.50
2503.64,176.00
2506.14,176.75
2508.65,176.50
2511.15,175.75
2513.65,176.00
2516.16,176.25
2518.66,176.75
2521.16,176.75
2523.67,176.25
2526.17,175.00
2528.67,176.50
2531.18,176.50
2533.68,176.50
2536.18,176.00
2538.69,176.75
2541.19,176.50
2543.69,173.50
2546.20,176.50
2548.70,176.50
2551.20,176.75
2553.71,177.00
2556.21,176.75
2558.71,176.50
2561.22,177.25
2563.72,177.00
2566.22,176.00
2568.73,177.00
2571.23,176.75
2573.74,176.00
2576.24,176.50
2578.74,177.00
