Time(s),Temperature(C)
2396.50,143.00
2399.84,144.75
2403.17,144.50
2406.51,143.75
2409.85,144.75
2413.18,144.75
2416.52,145.50
2419.86,145.00
Time(s),Temperature(C)
0.00,115.50
3.34,115.50
6.67,115.50
10.01,114.50
13.35,114.75
16.68,115.50
20.02,114.75
23.36,115.25
26.69,116.00
30.03,115.25
33.37,111.75
36.70,116.00
40.04,115.75
43.38,115.25
46.71,115.50
50.05,115.75
53.38,115.75
56.72,116.00
60.06,116.00
63.39,115.75
66.73,116.00
70.07,116.00
73.40,115.50
76.74,115.75
80.08,113.50
83.41,115.75
86.75,115.75
90.08,113.25
93.42,116.50
96.76,116.75
100.09,116.75
103.43,116.75
106.77,116.75
110.10,116.75
113.44,117.00
116.78,117.00
120.11,116.75
123.45,117.50
126.79,115.50
130.12,118.00
133.46,117.50
136.80,118.25
140.13,118.50
143.47,118.25
146.81,118.50
150.15,114.25
153.48,118.50
156.82,118.25
160.16,118.50
163.49,119.25
166.83,119.50
170.16,118.75
173.50,119.00
176.84,119.50
180.17,119.25
183.51,119.25
186.85,119.50
190.18,119.50
193.52,120.25
196.86,120.00
200.19,120.00
203.53,120.50
206.87,121.00
210.20,121.00
213.54,121.00
216.88,120.25
220.21,121.25
223.55,120.75
226.88,121.25
230.22,121.25
233.56,121.25
236.89,121.75
240.23,121.50
243.57,122.25
246.91,121.75
250.24,122.50
253.58,122.75
256.92,122.50
260.25,122.25
263.59,122.50
266.92,123.00
270.26,122.50
273.60,123.00
276.94,122.00
280.27,123.25
283.61,123.75
286.94,124.00
290.28,124.00
293.62,124.00
296.95,124.25
300.29,124.50
303.63,124.00
306.96,124.50
310.30,123.25
313.64,124.25
316.97,125.25
320.31,125.25
323.64,120.50
326.98,125.50
330.32,125.00
333.66,125.75
336.99,125.75
340.33,126.00
343.67,126.00
347.00,126.25
350.34,125.00
353.67,126.25
357.01,126.00
360.35,126.50
363.69,126.25
367.02,126.50
370.36,123.50
373.70,127.50
377.03,126.50
380.37,127.00
383.71,127.00
387.04,127.25
390.38,127.00
393.72,127.50
397.05,127.25
400.39,127.75
403.73,127.00
407.06,128.00
410.40,128.50
413.73,127.75
417.07,127.75
420.41,128.75
423.74,128.50
427.08,128.25
430.42,129.25
433.75,129.50
437.09,129.00
440.43,129.00
443.76,129.00
447.10,129.75
450.44,128.75
453.77,129.25
457.11,130.25
460.45,130.25
463.78,129.50
467.12,129.75
470.45,129.50
473.80,130.00
477.13,130.25
480.47,130.00
483.80,130.50
487.14,130.50
490.48,130.75
493.81,131.00
497.15,131.25
500.49,130.50
503.82,131.25
507.16,131.50
510.50,130.75
513.83,131.75
517.17,131.25
520.51,131.00
523.84,131.75
527.18,132.00
530.52,131.75
533.85,131.75
537.19,131.75
540.53,132.25
543.86,132.00
547.20,133.00
550.53,132.25
553.87,132.75
557.21,132.75
560.54,132.50
563.88,132.25
567.22,131.75
570.55,133.25
573.89,133.50
577.23,133.25
